file,classification,sha256,refuse_overwrite_marker,mkroot_marker,open_documents_preflight,note
analyze_geometry_production.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,12aa6dbc7691f197205cdcec8e6377242ef7121dc0e3197fa918e3b5aab7134c,True,True,False,String markers only; not a safety proof
build_p08.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,42c473d9a4cbe4ae3b20fdaff32872fd8bc67ac7b1ca19dfa2a60745542303db,True,True,True,String markers only; not a safety proof
build_p09.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,f90d095cf11321bbaa3323e4e6417080ec3e745fe0d08eebecbd987c3ecb6b1b,True,True,True,String markers only; not a safety proof
build_p10.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,f2f88fe29cc3b7b5c23b51d8e807a98d89d35a3b13919a2866e7c853a6539d5b,True,True,True,String markers only; not a safety proof
build_p11.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,642a8cc1fce229c54a440b7d4f97f0b9e4d476464117f475c8de27f6314d3567,True,True,True,String markers only; not a safety proof
build_p12.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,8f6dfdc4f512c806a6792413d67be61d5eed82f379d3cec5df3bf6591def4883,True,True,True,String markers only; not a safety proof
build_production_r01.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,a7ea5b05b59d3694a92c2c70e01304ee9cf7cc5e3433df1e2720ebad3ca56d26,True,True,True,String markers only; not a safety proof
build_production_r02.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,a932b5b7670d8c8d83233cb0f0a9f393d16a2a13aa8b910b1e0c058fd4d5fe2f,True,True,True,String markers only; not a safety proof
build_production_r03.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,1a50bf29d42fa7400427beb31e55d99c5a0d0e0a64bb48ef45203b1080de0e13,True,True,True,String markers only; not a safety proof
build_production_r05.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,7e8501c24b286dfab467b25c8e5acc4c6cd04fe3f4024dbc354dbbc084d39d44,True,True,True,String markers only; not a safety proof
build_production_r06.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,9fe14fdf36ca2e49e9e9bd4bbbb85a6d438acc1b47d49b6f6eba858c2e8e5526,True,True,True,String markers only; not a safety proof
build_production_r07.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,b9101c62e844a18cb44c7f5ced605c5f5b3b8672a0ed3ebb7533139e8cdf24a7,True,True,True,String markers only; not a safety proof
build_production_r10.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,333d2771be59c87aff2358411692b977957da6ea31e4ed2bd0a32ab123c8cd77,True,True,True,String markers only; not a safety proof
close_delivery_r18.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,c86a2e62ec9b52f57590ac42f6b7317f3bf71565a67041f42a22d73b69e6707a,True,True,False,String markers only; not a safety proof
complete_fichas_r18.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,645e03cfa436ab09dd072139971b185209d01d163fb935ea8c314ac5cd5d3ce6,False,True,False,String markers only; not a safety proof
consolidate_head_r11.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,9efb670494d923a2d2ef766671f18bbe59af2761f4038b1491c2c0ad697e4ec0,True,True,False,String markers only; not a safety proof
consolidate_head_r18.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,47dd7e3112ff2ef2e6ac9a4b43e5ec084bc0a18678b4abbe7aee22662f618db4,True,True,False,String markers only; not a safety proof
create_production_review.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,390a16cef600ba4ab3135fae47c6aa5e5998ddc147046c429fbaeacae16fdd9e,True,True,False,String markers only; not a safety proof
create_production_review_r03.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,a6def856509a66fec8be2a81a49dc3e29b859d9279d0157736d04191402bd7d5,True,True,False,String markers only; not a safety proof
create_production_review_r11.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,e2f0129b30007118088816f27a59814b9363664bf1e1f4a3c8bc67cfa0c2a605,True,True,False,String markers only; not a safety proof
create_production_review_r18.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,b1c7fc4dc7cb6b76dd947370008c5d9bd6305e9c5f24e44ca820375b04758826,True,True,False,String markers only; not a safety proof
criar_revisao_p14.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,5982733ad4649743f18ce8e77fb0ff5e30298a84db74c76a02ffdd9711bdb199,True,False,False,String markers only; not a safety proof
criar_revisao_p15.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,8d699a06941e4d0a6a65af903dcd5e0156b287d9096324b0e05a97f44a7e40a5,True,False,False,String markers only; not a safety proof
criar_revisao_p16.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,40254edf5e819d429807e379c13b4afae238154eea49039d88c2c9cd65673d30,True,False,False,String markers only; not a safety proof
diagnostic.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,e46b8c741a8a4bb2c50389a73708f38fee8cf4d9e2ee98fab85887bc52d8300b,True,True,True,String markers only; not a safety proof
extrair_tipografia_psd.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,9e7a75b012d7fc3a68e09b8e2ced686512fc87b9a69c032ee2c885cb89ba7db6,True,True,False,String markers only; not a safety proof
final_spec_r18.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,71c1a8e8e128bf20f94fb628efb3929cc2e5ec1457f5e5915196a9f5b53fd383,True,True,False,String markers only; not a safety proof
inspect_exceptions_r01.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,d481d8df63eba24023d1421d48ccd610ad0eae58a343a89071007d90ed94c9ec,True,True,True,String markers only; not a safety proof
inspect_exceptions_r02.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,7d61bf231e4b58af082c42e2189d625478d5d7cbffd1fba8b1f531e56545c278,True,True,True,String markers only; not a safety proof
inspect_live.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,9b6bbf29708ee1f7ba2be7df3b20120d999e0274c2d2e77c552a5f94ad947a4c,True,True,True,String markers only; not a safety proof
inspect_live_v2.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,b2b2f01b892b904d1f0951f69d06247ba562f8f20ba03776948315b468cb6445,True,True,True,String markers only; not a safety proof
intake_psd_tools.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,2ee50e46fc32c8c05dab2716354ab9383950275f7ca743b26c0e36ee7fcd5cdb,True,True,False,String markers only; not a safety proof
mapear_ofertas_estrutural.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,bf2d0470e2ec82d829486f7a2583ba514cfe9faa83045cb50a560a20c86fea32,True,True,False,String markers only; not a safety proof
medir_tarefa_20260919.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,eccecff0bc4a36cfa6a4c48cab619c418aaedc4e1dc3622905d76ca381e18900,True,True,False,String markers only; not a safety proof
patch_controle_r12.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,2afa22487e856e4d801c845e49757a8d736d48eb86889a54b60579b16c9c4e70,True,True,True,String markers only; not a safety proof
patch_controle_r14.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,2e883309c6827b7b4eaab6eb4329c477c4bafb797cf156304cf08fa422bd3fea,True,True,True,String markers only; not a safety proof
patch_controle_r16.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,50646754ea57562d0b3ced9c27dc5af6cf226ec1cdaa9eb53dc8d61b4782d9c1,True,True,True,String markers only; not a safety proof
patch_micro_r04.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,6e28a76f6101eefdeec6fcc512c7827f69d980c02120371da44df69444318e0a,True,True,True,String markers only; not a safety proof
patch_p13.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,21b4ef44cbbb534af21ccdc74e529c27352e106d554434e6e8028f539f115ec0,True,True,True,String markers only; not a safety proof
patch_p14.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,c4a8241b19d560e6e01ca9f9a906b993eaf71dccfbc067d51fac6b21ee883c3f,True,True,True,String markers only; not a safety proof
patch_p15.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,4e7f5ab704f2f885601c085b2d18bbb8141e10df1c61b413f5baaff2faeff67a,True,True,True,String markers only; not a safety proof
patch_p16.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,1915a8281b36231d7e598fc3420566d6d287abf1c29044cdeebd6162ed7e71f0,True,True,True,String markers only; not a safety proof
patch_p17.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,dd3e95204624f06c8e9a1226a09867477760cfd6f0ffaaf9836316d24012358f,True,True,True,String markers only; not a safety proof
patch_p18.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,4bfaac102bab25a7b77fc5a9f7e57182df971e72b3ce9abaf4d9f72dbe373116,True,True,True,String markers only; not a safety proof
patch_strip_r08.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,f44afe68302326c26023fd6dfcf0955e98e5c8b7c0b8425d0e0ed32cd549034c,True,True,True,String markers only; not a safety proof
preparar_p10.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,46c78d300239f78e9884998df3d35c8764c171e1d5e506c8c8f1e63f9aa00ea4,True,False,False,String markers only; not a safety proof
preparar_p11.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,9dd6e627a4c843dbfbd3f684dc45716040f11a0cf63337d9801fe0ae1487b1b4,True,False,False,String markers only; not a safety proof
preparar_p12.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,28be1ced278b0f55d1bf9099c4823bc7ef2e4193c0b2cd85f855fc29ac88da01,True,False,False,String markers only; not a safety proof
probe_r02.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,2de293c179b76bc0900ab3e771a250cc5c45cb58f51315e42f3500b64d64961a,True,True,True,String markers only; not a safety proof
probe_r03.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,b6b38cd106c25fb120f6f200da1972ae7a6b81a77f4d10c2a6a7b28dc1249392,True,True,True,String markers only; not a safety proof
probe_r05.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,c4dc482b069de49ef204600a581abb21821adf5d862b244b8e0fef971fe01416,True,True,True,String markers only; not a safety proof
production_timings.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,137e45a956104f50f99398cb337d947c3451ba9b61433caca80fba3354bc955e,True,True,False,String markers only; not a safety proof
production_timings_r11.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,f4f7d1c2319efa3e7492e83164ada0fc6a2173d37a2144e8c4dc71e353747d3c,True,True,False,String markers only; not a safety proof
production_timings_r18.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,e17851538977c79084d1069c5553ef0165ff4b2b447dac8875656ba75eace313,True,True,False,String markers only; not a safety proof
promote_production.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,dc4cf14eb96a49ecb9e9ccabfd98c679c833ee01ad2842b4a4cddd497e1c1ae4,True,True,False,String markers only; not a safety proof
promote_production_r03.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,76889b2bff628ea39f31f938f828e3a0dd94694578d91c0fec0caa27c7caaeb7,True,True,False,String markers only; not a safety proof
promote_production_r11.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,5387177a6d5bdd47fc056f867a77c373be7e06fc55ef4ece85420c73d67aad34,True,True,False,String markers only; not a safety proof
promote_production_r18.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,bd6486a2c167fee7a4c2c85a89f6492db3833292f83f26d2e659f75859594577,True,True,False,String markers only; not a safety proof
qa_p14_coverage.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,5d503269c4b93901ee21ac29016e335ff7d7117c3a63999c88b13d009b3b31e3,True,True,False,String markers only; not a safety proof
qa_p16_coverage.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,d3e062377ea749e6a3743a802cd34c8acd4f77dc134c54a61416617f8ec2b05c,True,True,False,String markers only; not a safety proof
qa_patches_r14.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,bf0e6efaebf6aecb088827acf00cbbaa10f5193470455bd61ec1e67e64bac9a0,True,True,False,String markers only; not a safety proof
qa_patches_r16.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,df185a31d7da82183ab3590ef7c539a6d538684d29bbfbfe191c5e2c9f4e3fb3,True,True,False,String markers only; not a safety proof
qa_pilotos_20260919.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,13eb1cfe1b11da10e2e651ce0088b914645204a5c02067876ad93fc56edee5db,True,True,False,String markers only; not a safety proof
qa_production_r01.py,QA_HISTORICAL_PARAMETER_REVIEW_REQUIRED,9f020841931df2e06d32d21bb10d3596da4ebcbc7b29a0dcee3a277d9c5b8a48,True,True,False,String markers only; not a safety proof
qa_templates_r01.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,c206c3c3a564dbb90d35add53b98fe96e6a0b10345ed0de33016bff7bc08fe50,True,True,False,String markers only; not a safety proof
qa_templates_r02.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,45b2b71f78f4472f1d42c3e39d5064d5070b48846db821e7322098fcaeb34d82,True,True,False,String markers only; not a safety proof
recapture_templates_r17.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,54b404cbf99ce5845f9eb1ad74e40f7e1d4fd0d997b272ba92be3471425b0521,True,True,True,String markers only; not a safety proof
recapture_templates_r19.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,c3ba87c94b32d2bbda235928af0ab7e188aad361e70b8716845039df1ea27e10,True,True,True,String markers only; not a safety proof
recapture_templates_r20.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,2ec24b73c1b8858118be5b3407f6c4865e34c7f3a5aa7ba85522c15d01ca9450,True,True,True,String markers only; not a safety proof
relatar_p16.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,b34cecb73a4773638c21fed250338977afde8ef6e5d269fb2d549ae706b5ed2e,True,False,False,String markers only; not a safety proof
render_canonical.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,1ba2cb589561a1edfa709d90c089b33d1a52c92beb6d22cb6079537af3d20a77,True,True,True,String markers only; not a safety proof
render_canonical_v2.jsx,CANONICAL_REUSE_COPY_BEFORE_RUN,8a802e27d72e47b0760a1f914b9f771b799f8f92390eee286fc27ba594d4657c,True,True,True,String markers only; not a safety proof
summarize_structural_r18.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,a35147dd57ce4c9d8a1f2406dae0009c55de130b08333f76f95ca66f50017958,True,True,False,String markers only; not a safety proof
write_process_report_r18.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,06b3109a3add00671255d99cb387bcd34fc93de7515043c9c222c9e5f21c3860,True,True,False,String markers only; not a safety proof
